epoch,step,train_base_loss,train_deg_penalty,train_loss,train_pred_pos_rate,val_acc,val_auc,val_bacc_opt,val_f1,val_mcc,val_opt_thr,val_pos_out_of_band,val_pred_pos_rate
0,4,,,,,0.5320000052452087,0.4994446039199829,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
0,4,0.2243485450744629,0.0,0.2243485450744629,0.5246490836143494,,,,,,,,
1,9,,,,,0.5320000052452087,0.499760240316391,0.5,0.6945169568061829,0.0,0.5,1.0,1.0
1,9,0.21708063781261444,0.0,0.21708063781261444,0.5161709785461426,,,,,,,,
2,14,,,,,0.46799999475479126,0.49780720472335815,0.5,0.0,0.0,0.5,1.0,0.0
2,14,0.19206085801124573,0.0,0.19206085801124573,0.4945177137851715,,,,,,,,
3,19,,,,,0.46799999475479126,0.5037603974342346,0.5,0.0,0.0,0.5,1.0,0.0
3,19,0.17867989838123322,0.0,0.17867989838123322,0.4771382212638855,,,,,,,,
4,24,,,,,0.46799999475479126,0.49857208132743835,0.5,0.0,0.0,0.5,1.0,0.0
4,24,0.17914356291294098,0.0,0.17914356291294098,0.4826660752296448,,,,,,,,
